principle,characteristics,dos,donts,category,severity
Universal Design: Perceptible Information,Communicates necessary info effectively regardless of ambient conditions.,"Use different modes (pictorial, verbal, tactile); ensure high contrast.",Rely on color or a single sense alone to convey critical meaning.,Framework; Universal design,Critical
Universal Design: Tolerance for Error,Minimizes hazards and adverse consequences of accidental actions.,"Provide warnings, fail-safe features, and easy undo options.",Design tasks that lead to irreversible or catastrophic errors if misclicked.,Framework; Universal design,Critical
Universal Design: Flexibility in Use,Accommodates a wide range of individual preferences and abilities.,"Provide choice in methods of use (e.g., right/left handed access).",Assume a single user speed or accuracy level; force a single interaction path.,Framework; Universal design,High
Universal Design: Size and Space for Approach and Use,Appropriate size and space provided regardless of body size or mobility.,Provide clear line of sight to elements; make reach comfortable for any user.,Obstruct the line of sight; ignore wheelchair access or reach ranges.,Framework; Universal design,High
Universal Design: Low Physical Effort,Can be used efficiently and comfortably with minimum fatigue.,Allow user to maintain a neutral body position; minimize repetitive actions.,Require excessive force or sustained physical effort.,Framework; Universal design,Medium
UX Strategy: Business Strategy,The top-line vision and competitive advantage for long-term sustainability.,"Tie each design decision to one measurable business metric (retention, conversion, cost-to-serve) before proposing it; revisit the roadmap each quarter against actual usage data.",Don't greenlight designs solely because they're trendy; don't set strategy in a workshop divorced from real usage data; don't design in a vacuum ignoring business goals.,Strategy,Critical
UX Strategy: Value Innovation,"Winning by solving a real problem better and cheaper than alternatives, not by matching a competitor's feature list.","Identify the one thing competitors force users to tolerate, then remove it entirely; solve problems in a way that makes the competition irrelevant.",Don't compete purely on price; don't add a feature just because a competitor has it.,Strategy,Critical
UX Strategy: Validated User Research,Verifying assumptions with target users through direct feedback.,Use the Build-Measure-Learn loop; build MVPs to test market demand.,Assume you know what users want; design without direct user input.,Strategy,Critical
Quality Performance: Prior Knowledge / Divergent Thinking,"Idea generation draws on precedent and deliberately produces many divergent options before converging, especially during creative exploration.","Study 5-10 existing solutions or precedents before sketching; generate at least 3 genuinely different directions before picking one; apply existing principles as a starting point, not a cage.",Don't lock onto the first idea that comes to mind; don't skip precedent research when time is short; don't ignore historical precedents in the name of originality.,Strategy,High
Design Across Viewport Scales,Layouts and components must adapt from small mobile viewports to large desktop or TV screens while keeping data and interactions consistent.,Test key flows at both a minimum (~360px) and a maximum (1920px+) viewport width; use responsive or fluid layout techniques rather than fixed-pixel breakpoints only; ensure data integrity and consistency across all screen sizes.,Don't optimize for one screen size only; don't ignore touch-target and reach constraints on small devices.,Craft,High
Memorable Experiences: Simple (SUCCES),Finding the core of an idea to make it stick.,Strip away everything but the essential message; use analogies.,Bury the lead; overcomplicate the message with needless data.,Framework; SUCCES,Critical
Memorable Experiences: Stories (SUCCES),Getting people to act through narrative and mental simulation.,Use case studies; frame experiences as a hero's journey with a start and end.,Just list facts without context; present data without narrative context.,Framework; SUCCES,Critical
Memorable Experiences: Concrete (SUCCES),Using sensory details and actionable info to lighten cognitive load.,"Use specific, real-world examples and sensory language.","Rely on abstract concepts, vague jargon, or high-level abstractions.",Framework; SUCCES,High
Memorable Experiences: Credible (SUCCES),"Building trust through authority, details, or statistics.","Cite one specific, sourced statistic rather than a vague superlative; show a real customer example or verifiable detail (a name, number, or date).","Make wild, unsubstantiated claims; use statistics without a source or context.",Framework; SUCCES,High
Memorable Experiences: Emotional (SUCCES),Making the audience care by appealing to self-interest or identity.,Give the device a personality; use human connections and humor.,"Stay purely analytical, cold, or clinical.",Framework; SUCCES,High
Memorable Experiences: Unexpected (SUCCES),Grabbing attention by breaking patterns or defying expectations.,"Use surprise to spark curiosity; include ""Easter eggs"" or happy surprises.","Be boring, overly predictable, or repetitive.",Framework; SUCCES,Medium
Lyft: Nail the Basics,"Focus on foundational stability, reliability, and efficiency.",Ensure core features like booking work perfectly every time; prioritize speed.,Prioritize flashy/vanity features over system uptime and utility.,Framework; Lyft,Critical
Lyft: Build Confidence,Establishing trust through transparency and safety.,"Provide clear feedback, transparent pricing, ETAs, and safety markers.",Hide critical data; use dark patterns; hide information that causes anxiety.,Framework; Lyft,Critical
Lyft: Be Unique,Expressing brand identity and personality through design.,"Pick one signature detail (an illustration style, a motion signature, a voice quirk) and repeat it consistently rather than styling every screen differently.",Don't copy a competitor's UI pattern wholesale when a distinct pattern would serve equally well; don't let 'consistency with the category' become an excuse to look identical to every other app.,Framework; Lyft,Medium
Motion: Seamless Continuity,"Transitions between states or screens should be fluid, unbroken, and preserve spatial context so users don't lose orientation.",Coordinate simultaneous screen changes; use shared-element transitions to maintain orientation between views; keep frame rates high enough to avoid stutter.,"Don't allow stuttering, lagging, or janky transitions that distract users; don't use abrupt cuts or jarring transitions that disorient the user.",Motion,Medium
Motion: Physical Intuition,"Movement should feel natural and physically plausible - mirroring real-world weight, inertia, and expected timing - so it doesn't feel robotic or arbitrary.",Apply realistic easing (ease-in/ease-out) and physics-based timing; relate animation velocity or duration to the interaction that triggered it (e.g. a faster flick settles faster).,"Don't use linear, robotic timing; don't create movements that defy spatial consistency or gravity; don't use jerky or disconnected transitions.",Motion,Medium
Microsoft Fluent: Contextual,Motion relates to the user's point of origin and environment.,Animate elements from their touch/click point; adjust for viewport size.,Trigger animations from random locations; use 'one-size-fits-all' motion.,Motion,Medium
Structured Stakeholder Feedback,"Design improves when real stakeholders and users react to concrete work-in-progress, not just a written spec.","Run regular design critiques with stakeholders using working prototypes or personas; treat feedback sessions as a scheduled checkpoint, not a one-off.",Don't rely solely on an initial requirements document or contract negotiation; don't treat stakeholder input as a single kickoff conversation with no follow-up.,Strategy,Critical
"Craft: One Accent, Used Consistently",Great UI restrains color. A single accent carries emphasis; overuse of saturated color destroys hierarchy and reads as AI-generated.,Use one accent color per surface for the primary action/emphasis; keep a neutral base (cool or warm grey); apply the accent identically across the page.,Don't scatter multiple saturated accents; don't shift the accent hue mid-page; don't default to neon glows or AI-purple gradients.,Craft; Color,Critical
Craft: Off-Black and Off-White,"Pure #000 and #fff are harsh and flat; refined palettes use slightly tinted near-black and near-white for softer, more premium depth.","Use an off-black (e.g. near-zinc-950) for text and an off-white for surfaces; give greys a subtle hue cast (cool for tech, warm for approachable).",Don't use pure black text on pure white; don't use fully neutral greys when a tinted grey unifies the palette.,Craft; Color,High
Craft: Legible Text on Color,Grey text on a colored background looks muddy. The fix is to let the background hue bleed through.,"On colored surfaces, use opacity-reduced white text OR a hand-picked lighter tint of the background hue.",Don't drop a neutral grey onto a colored background; don't assume a grey that works on white will work on color.,Craft; Color,High
Craft: Tinted Depth,"Shadows and elevation read best when tinted to the scene, not pure black. Overhead-light shadows fall more below than to the sides.","Tint shadows toward the background hue; offset them more vertically than horizontally; use a fixed elevation scale (small=buttons, medium=dropdowns, large=modals).",Don't use pure-black drop shadows; don't invent ad-hoc shadow values per element.,Craft; Depth,High
Craft: Hierarchy by Weight and Color First,Size is the crudest hierarchy lever. Weight and color separate primary from secondary while keeping most text at one comfortable size.,"Establish hierarchy with font-weight and text color; de-emphasize secondary content (softer color) rather than bolding everything primary; align mixed sizes by baseline; order elements in the sequence you want them consumed (top-to-bottom, left-to-right); keep font weights at 400 or above even for small UI text.",Don't rely on size alone; don't let HTML tag level dictate visual weight (an h3 used as metadata should look like metadata); don't use font weights under 400 for small UI text; don't let every element compete for attention and create a 'wall of content'; don't make the logo the biggest element on the page unless it is the primary action.,Craft; Typography,Critical
"Craft: Hand-Picked Scales, Restrained Choices","Constrained, hand-tuned systems produce consistency; open-ended choice produces drift and decision fatigue.","Hand-pick a type scale and a spacing scale (steps >=25% apart, e.g. 4/8/12/16/24/32/48/64); pre-define 8-10 shades per color up front.",Don't derive the type scale from a pure math ratio you won't use; don't reach for the color picker mid-design; don't tweak spacing or font sizes one pixel at a time manually.,Craft; Systems,High
Craft: Typographic Restraint,One type family (or a documented serif+sans pair) with same-family emphasis reads intentional; mixed typefaces read chaotic.,Use one font family per project; create emphasis with italic/bold within that family; keep line length 45-75 characters; line-height inversely proportional to size.,Don't inject a contrasting typeface for visual interest; don't default to a serif unless the brand/aesthetic is genuinely editorial.,Craft; Typography,High
Craft: Whitespace First,Adding whitespace after the fact always undershoots. Generous space signals quality and guides the eye.,Start with too much whitespace and remove it; tighten spacing within a group and increase it between groups so proximity carries meaning.,Don't pack sections to fill space; don't use uniform spacing that erases grouping.,Craft; Layout,High
Craft: Separate Without Borders,"Borders add clutter faster than structure. Depth, background contrast, and spacing separate content more cleanly.","Prefer spacing, a background-color shift, or a soft shadow to divide regions; use cards only when elevation communicates real hierarchy.",Don't box everything in borders; don't wrap content in a card when whitespace would do.,Craft; Layout,Medium
Craft: Consistent Radius System,"A single, locked corner-radius system reads deliberate; mixed radii read broken.","Pick one radius scale (all-sharp, all-soft, or all-pill) or a documented per-element rule (e.g. buttons=pill, cards=16, inputs=8) applied everywhere.",Don't mix rounded buttons in a square layout or square cards on a pill-button page.,Craft; Visual Quality,Medium
Craft: Design Every State,"Polished products design the full state cycle, not just the happy path.","Provide loading (skeletons matching final shape, not generic spinners), empty (composed, shows how to populate), and error states (inline for forms, toast for transient); add tactile active feedback (subtle translate/scale).",Don't ship only the ideal state; don't use a generic spinner where a skeleton fits; don't leave empty states blank.,Craft; Components,High
Craft: Motion Must Be Motivated,"Every animation should communicate something (hierarchy, feedback, state, continuity). Motion for its own sake reads as noise.","Justify each animation in one sentence; split motion into productive (short, task feedback) and expressive (longer, significant moments); animate transform/opacity only; honor prefers-reduced-motion; show how new content relates to what was on screen a moment ago (shared-element transitions) rather than cutting cold; use motion to direct attention to the next task, not just to decorate.","Don't animate because it looks cool; don't animate layout properties (top/left/width/height); don't exceed one marquee per page; don't add decorative animation that slows the user down or overloads them; don't use motion that distracts from the primary task or a 'jokey' indicator in a critical/transactional flow (payment, safety alerts).",Motion,High
Craft: Layout Variety,"Repeated identical section templates (three equal cards, endless image+text zigzag) are a hallmark of generated design.",Give each section a distinct layout family; cap repeated patterns (e.g. no 3rd consecutive zigzag); make grid cell count equal item count with real visual variation.,Don't reuse one section template down the page; don't leave empty grid cells; don't render every feature row as three equal cards.,Craft; Layout,High
Craft: Avoid Generative Tells,AI-generated design has signature tells that cheapen otherwise good work; removing them is high-leverage.,"Use specific real names/logos over placeholders; write plain functional copy; label steps with verb-nouns (Install, Configure) not 'Step 1'; keep numbers real or marked mock.","Don't ship generic names (John Doe, Acme), filler verbs (Elevate, Seamless, Unleash), section-number eyebrows, scroll cues, fake div-screenshots, emoji-as-icons, or em-dashes used as decorative flourish.",Craft; Anti-Slop,Critical
Craft: Context Over Aesthetic,"The product's domain and constraints outrank aesthetic preference. Trust-, accessibility-, and safety-critical contexts override style.","Match visual language to product type and audience; state a one-line 'design read' (kind, audience, vibe, system) before designing; let accessibility/regulatory constraints win.","Don't apply a trendy aesthetic that fights the domain (e.g. heavy motion in accessibility-critical apps, AI-purple in fintech, dark-by-default for wellness).",Craft; Strategy,High
