principle,characteristics,dos,donts,category,severity
Progressive Disclosure,The brain can only process a small amount of information at a time; showing only what's needed avoids overwhelming users and prevents cognitive overload.,Show people what they need when they need it; reveal details only as needed contextually; show only relevant context and use progressive disclosure for deeper detail.,Don't give too much information all at once; don't display all content at once if it isn't necessary for the immediate task; don't worry about counting clicks if they reduce cognitive load.,Navigation,High
"Loads (Cognitive, Visual, Motor)",Different demands use different mental resources. Cognitive load is the most expensive.,Minimize cognitive load even if it increases motor load (clicks). Ensure targets are large enough (Fitt's Law).,Don't make people think or remember more than necessary. Don't make targets too small or far apart.,Navigation,High
Time Perception & Indicators,Time is relative; mental processing and expectations influence frustration.,"Always provide progress indicators (skeleton screens, average-color blocks). Keep task time consistent.",Don't make users wait without feedback; don't use empty white screens or center-page spinners only.,Feedback,High
Optimistic Interface / Actions,Providing instant responses to user actions even while background validations occur to reduce perceived latency.,Register an action instantly in the UI while syncing in the background.,Do not show a loading spinner for every minor interaction; don't make users wait for complex checks.,Feedback,High
Duration Best Practices,Optimal timing changes based on viewport size and element complexity.,Use 100-200ms for small components; 500-700ms for page transitions.,Don't make users 'watch the clock' by using slow progress indicators or spinners.,Motion,High
Text needs consistent contrast on images,"Background images are dynamic and can make overlaid text unreadable, especially in hero sections.",Add a semi-transparent overlay (dark for light text); lower image contrast; add a soft text shadow or large-blur-radius shadow to increase legibility.,Don't place text directly on a busy image without a contrast-improving treatment; don't slap a headline over a raw hero image without checking contrast across both light and dark areas of the image.,Content,High
Users & Environment,Design decisions should account for target audience demographics and physical context - the platform and environment change usage variables.,"Account for viewing distance, indoor/outdoor use, and input methods (e.g. remote for TV, thumb for mobile); adjust text size and contrast for the specific environment.",Don't ignore the suitability of the interface style for the target age group; don't apply mobile variables to TV; don't design for TV the same way you design for a mobile phone.,Homepage,High
Accessibility & Legibility,"Link and control text must make sense on its own, including to screen-reader users who navigate by jumping between links.",Write descriptive link text that states the destination or action (e.g. 'Download the pricing PDF'); build accessibility into the process from the start.,Don't use vague link text like 'Click here' or 'Read more' with no context; don't rely on surrounding text alone to make a link's purpose clear.,Accessibility,High
Consistency,Maintaining predictable behavior and layout across multiple screens.,"Keep margins and placement of common items (title bars, back buttons) the same; use grids.",Don't allow objects to 'jump around' between different views of the interface.,Navigation,High
Interusability,"Making the overall experience feel like one coherent service across multiple devices and touchpoints, minimizing the reorientation a person feels when moving between them.",Specify which functionality belongs on each device; create guidelines that span multiple device types; design for coherency across all touchpoints so users don't have to re-learn navigation.,Don't treat devices as isolated cells; avoid disjointed UIs; don't force users to re-learn navigation on every page or provide inconsistent experiences across channels (web/phone).,Navigation,High
Direct Manipulation Consistency,"Interfaces depend on visual representation of objects, physical actions instead of syntax, and rapid, reversible, immediately visible effects.",Ensure interface actions are aligned with user understanding; provide immediate feedback; allow actions to be reversed.,Don't distance the user from the consequences of their actions; don't use complex syntax or force users into logical conditions for simple tasks.,Navigation,High
Gradual Engagement,Allowing users to experience benefits before requiring investment of effort or data.,Let users engage with core features before asking them to sign up; prompt for sign-in during task saving.,Don't use 'Sign up' and 'Sign in' together as the terms are confusingly similar.,Trust,High
Feature Broad Range of Types on Homepage,First-time users rely on homepage visuals to infer the site's product catalog and breadth. Narrow selections lead to misinterpretation.,Ensure a broad selection of different product types are featured; use images or thumbnails; dedicate space to non-popular categories.,Only feature a small selection of product types; assume users will know the site sells other items.,Homepage,High
Filters vs. Categories for Shared Attributes,"Wrongly implementing filters as categories prevents users from mixing criteria (e.g., 'mummy' + 'down' sleeping bag).",Use categories for mutually exclusive hierarchy scopes; use filters for attributes where multiple can be selected.,Implement product type as a category if attributes are the same across types; use brand-based categories.,Search,High
Avoid Redundant and Overlapping Categories,Redundancy makes it difficult to know which option to select and makes the site look unprofessional.,Manually create the taxonomy; map manufacturer data to your own curated categories; check for combined categories.,Use auto-generated categorization; reuse manufacturer categories without merging across vendors.,Navigation,High
Have Compatibility-Based Product List Pages,Users struggle to find and verify compatibility (e.g. laptop chargers). Completion rates are very low without explicit cross-linking.,Create unique pages for each compatibility product; include series-level pages; link these in cross-sell sections.,Assume users know their model's specific specs; force users to manually compare dimensions from different pages.,Product list,High
Avoid Relying Solely on Thematic Categories,Users expect a site to be structured by 'type of product.' Purely thematic navigation breaks mental models.,Use thematic paths as secondary options; ensure the core navigation is based on product types.,Replace product type categories with brand or occasion categories entirely.,Navigation,High
Main Nav Categories as First Hierarchy Level,"Hiding categories behind a singular ""Products"" link causes double-hover issues and prevents inferring site type at a glance.","Place top-level categories permanently in the main navigation bar; use non-product categories (e.g. ""Deals"") alongside them.","Scope the entire catalog within a solitary ""Products"" item; use double-hover activation areas with short heights.",Navigation,High
Site-Wide Courtesy Navigation Separation,"Non-product links (Contact, Sign-in, Shipping) clutter the header but are vital for those who need them.",Use white space or background colors to separate courtesy links; group them into sections; include a 'Shipping' link.,Place courtesy navigation below primary product navigation; omit vital policy links from the header entirely.,Navigation,Medium
Have First 1-2 Levels as Sub-Category Pages,"Sub-category pages act as storefronts, clearing up ambiguity via thumbnails and descriptions before showing products.","Display sub-categories high on the page; include thumbnails; provide a ""View All"" option for each scope.",Display a product list for broad categories; push sub-category links below the fold with featured products.,Navigation,High
Avoid Dividing or Sub-Dividing Product Lists,Thematic divisions make lists hard to sort and can lead users to think they've reached the end of results prematurely.,Use product type filters instead of sectional dividers; show a single continuous list of products.,Divide lists into thematic sections on one page; use product sliders or tabs to sub-divide featured results.,Product list,High
Graceful Error Handling,Comforting screens that occur when things go wrong without destroying user data.,"Keep all user input safe; provide a clear path to resolution and use human, positive language.",Do not use 'Blue Screen of Death' style jargon; never delete user work due to a form error.,Forms,Critical
Thumb Zone Optimization,Most users hold phones one-handed with the thumb anchored at the bottom; primary controls should sit within its natural sweeping arc.,Place primary actions and navigation near the bottom of the screen for large mobile devices; use bottom tab menus for high accessibility; design for a natural sweeping thumb arc.,"Avoid placing critical navigation (like 'Back' or 'Purchase') in the top-left 'Ow' zone; don't place primary navigation in top corners (like hamburger menus), which are the least accessible for one-handed use; don't assume users will change their grip to reach controls.",Touch,Critical
Smart Defaults and Consent-Respecting Automation,"Reducing the work required of the user beyond their initial, informed consent.",Use intelligent defaults and automate repeated actions only after initial informed consent is obtained.,Don't use behind-the-scenes trickery to act on the user's behalf; don't automate any action the user hasn't consented to first.,Cart and checkout,High
Reading and comprehending are different,"Readability is affected by existing knowledge, titles, and text structure.",Provide meaningful titles and headlines; use simple words and shorter syllables.,Assume people will remember specific information just because they read it.,Product detail,High
Short-term memory is limited,Working memory is fragile and easily disrupted by sensory input.,Keep information in one place so users don't have to remember it across pages.,Ask users to do another task while holding information in working memory.,Cart and checkout,High
People remember only a handful of items at once,"Working memory is limited; a widely cited guideline puts it at 4+/-1 items (sometimes cited as 7+/-2) - treat it as a working-memory guideline, not a hard law.",Chunk information aggressively into small groups (roughly 3-5 items); keep information in one place so users don't have to hold it in memory across pages.,Don't list many items in a single ungrouped block without further categorization; don't require users to remember information while performing another task.,Forms,High
People are more motivated as they get closer to a goal,The goal-gradient effect states that behavior accelerates as the goal comes into sight.,"Show progress bars; provide an 'illusion of progress' (e.g., a 10-stamp card with 2 pre-filled).",Ignore the post-reward resetting phenomenon where motivation drops after a goal is met.,Cart and checkout,High
People are inherently lazy,"Humans 'satisfice,' meaning they look for the good-enough solution rather than the optimal one.",Design for scanning; use white space and large fonts to make a task look 'easy'.,Provide too many options that require heavy analysis.,Search,High
F-Pattern Scanning and Button Hierarchy,Users typically scan digital content in an F-shaped pattern - top to bottom along the left edge - so button placement should follow that natural scanning path to keep the flow to checkout moving.,"Place buttons below descriptive elements; align buttons and calls-to-action along the left edge or bottom of descriptive content, following the F-pattern (top to bottom, left edge).","Do not place the strongest visual element in the middle of a scan path or a position that forces the eyes to travel back and forth excessively, which slows processing.",Cart and checkout,High
Clarity over Beauty,Clarity and efficiency always precede aesthetic concerns in the priority hierarchy.,"Ensure a product's title, price, and key specs are fully legible even if it requires a less 'perfect' layout - e.g. let a long product name wrap to a second line rather than truncating the size or color that distinguishes it.",Don't clip or hide important content (like a product's distinguishing variant or price) just to maintain a clean visual look in a search results grid.,Search,High
Productive Motion,Creates a sense of efficiency and responsiveness while remaining subtle.,"Use for micro-interactions like button states, dropdowns, and data table rendering.",Do not use dramatic or slow animations in task-heavy productivity contexts.,Motion,High
Coherent Transition Logic,Entrances should inform exits to establish spatial orientation.,"Animate objects back to their origin point (e.g., if it entered from bottom, exit to bottom).","Do not have objects disappear in a direction unrelated to their entry, which confuses the user's mental map.",Motion,High
Ideal State Focus,The 'zenith' of the product's potential with maximum value and content.,Start design with the ideal state to set the tone for all other states.,Do not design empty or error states without first defining the ideal functional state.,Product detail,High
Humane Interface Design,Designing for 'smart but busy' users who want to complete a task quickly without feeling like a novice.,Use clear text labels on controls and icons whenever a control's meaning isn't universally obvious; focus on helping 'intermediate' users get the task done fast.,"Don't force users to memorize abstract, unlabeled icons; don't ship an icon-only control for an uncommon action without a text label or tooltip.",Search,High
Implicit Data Labeling,Reducing clutter by removing redundant labels when formats or context are clear.,"Use formatting (like $ or @) to imply the nature of data; combine labels into values (e.g., '12 left in stock').",Don't use a 'label: value' format as a default; it gives equal emphasis to all data and creates noise.,Product detail,High
Empty State Optimization,"The state seen when there is no data to show (first use, cleared data, or no search results) is an opportunity for engagement, not a dead end.",Tell the user exactly which button to press and why; incorporate illustrations and clear calls-to-action (e.g. 'Add First Item'); use stand-in content to show potential.,Don't settle for 'No items found' or 'Nothing to see here' text with no path forward; don't use oppressive 'coach marks' that cover the UI.,Cart and checkout,High
Worst-Case Scenario Planning,Ensuring the product doesn't break under real-world data stress.,"Check designs with long blocks of text, translations, and missing or varied images.",Do not only design for 'best-case' or pretty artwork that will break in production.,Product detail,High
Typography Legibility,"Text must be comfortable to read on digital screens; most information is conveyed through text, so size, leading, and line length all matter, and x-height affects perceived size.","Use at least 12pt font (16pt/1em preferred, in a typeface with a large x-height); set line spacing (leading) to at least 1.5x the font size; keep line lengths between 45-75 characters; provide meaningful titles and headlines with simple words and shorter syllables.","Avoid serif fonts for visually impaired users; don't use all-caps for long paragraphs; don't use moving or blinking text; don't accept default font settings without checking size, leading, and line length; don't assume people will remember specific information just because they read it once.",Content,High
Feedback and State Reassurance,Confirming user actions through visual or auditory cues.,Use spinners or progress messages for loading states; use pressed states for buttons; provide feedback in multiple forms (visual + sound).,Do not leave a user wondering if an app has frozen during processing.,Feedback,High
Which Attributes to Include in the List Item,Providing enough info to decide whether to skip or explore a product.,"Include price, thumbnail, title/type, variations, and user ratings; add 1-3 category-specific attributes (e.g., dimensions for bags).",Overload the list item with too much information; use a 'one size fits all' attribute set for all categories.,Product list,High
Product Variations as One or Multiple List Items,"Strategy for displaying color, size, or material versions of a single product.","Combine variations into a single list item for minor or non-visual differences; display separate list items for meaningful visual differences (patterns, textures).",Clutter the list by showing every size or format as a separate item; fail to link variations in the database.,Product detail,High
Include Product Attributes Consistently Across List Items,Ensuring comparability between items in the same list.,"Explicitly state when an attribute is unavailable rather than hiding it; harmonize measurements (e.g., all in cm).","Show specs only for some products; use inconsistent labeling (e.g., 'Height' vs. 'Depth') for similar products.",Product detail,High
Product Specifications Should Be Separate Entities,Structuring information for scannability.,Distinguish product type from name using font weights or colors; use bullet points for key features.,"Mix brand, type, and specs into a single unstructured text blob in the title.",Product detail,High
Clearly Indicate Product Unavailability,Preventing detours to products that cannot be shipped or bought.,"Use high-contrast badges (e.g., 'Sold Out'); state when the item will be back in stock; mention pre-order options.","Use small, easily overlooked text labels; hide unavailability until the user reaches the product page.",Product detail,High
Always Have Thumbnails for All List Items,Visual anchors for product assessment.,Ensure every single list item has an image; prioritize image quality.,Show a 'No image available' placeholder; expect users to click items without a preview.,Search,High
Avoid 'Quick Views',Removing intermediary steps that confuse site hierarchy.,Invest in better list item design and larger thumbnails instead; make the Quick View a gallery if it must exist.,Place the Quick View button in the middle of the thumbnail where it causes accidental clicks; make the Quick View look exactly like a product page.,Product detail,Medium
Allow Users to Combine Multiple Filter Values of the Same Filter Type,Multi-select capabilities within groups like color or brand.,Use 'OR' logic for values within a type; use checkboxes to signal that multiple items can be selected.,Reload the page and clear selections when a second value in the same group is clicked.,Search,High
Diversity-Based Relevance Default Sort,Ensuring the first page of results represents the full breadth of a category rather than letting one sub-type or sub-brand dominate.,"Show 1-2 products of each major sub-type in the first 20 results; use a default 'Relevance' sort that combines sales data, pageviews, ratings, and product-type diversity.","Don't sort by price or 'Best Selling' by default if it clusters only one product type or sub-brand (e.g., all Star Wars toys) at the top of every results page.",Search,High
Have unique category thumbnails,Users often mistake category thumbnails for specific products.,Crop thumbnails so they don't depict products in their entirety or use multi-product images to show category breadth.,"Don't depict a single specific product clearly, as users may think the link leads to that item only. Avoid thumbnails of products in packaging.",Search,Medium
The list layout should match the product type,Spec-driven vs. visually-driven products need different information density and layout.,"Use grid-view with large thumbnails for visually-driven categories (apparel, furniture); use list-view for spec-driven categories (electronics, appliances); switch automatically based on category context.","Don't use small thumbnails for visually-driven products, which increases pogo-sticking; don't apply a one-size-fits-all list/grid approach across a mixed catalog; don't hide prices in mobile grid views.",Product list,High
Have Hierarchy-Based Breadcrumbs in Category Product Lists,Sense of space and site position for users traversing hierarchies.,Include hierarchy-based breadcrumbs on category pages; consider 'Sideways Breadcrumbs' for sibling category navigation.,Provide breadcrumbs only on product pages.,Navigation,Medium
Real-Time Inline Validation,"Users should learn whether their input is valid as they enter it, not after they submit and lose their place.",Validate fields as the user types (e.g. password rules); pair validation messages with aria-live regions so errors are announced to screen readers; show clear success and error states; use loading indicators for perceived performance during async checks.,Don't wait until form submission to reveal that an earlier field was invalid; don't show validation errors that are invisible to screen-reader users.,Forms,High
Granular Consent and Privacy Controls,User control over their own data is a prerequisite for trust; consent should be specific rather than all-or-nothing.,Offer granular opt-ins (necessary / marketing / analytics); show the 'necessary' toggle as always-active; request permission for camera/mic/location access explicitly through the system prompt at the moment it's needed.,"Don't pre-check marketing or analytics consent boxes; don't use consent dark patterns (confirmshaming, hidden opt-outs, disabled 'reject' buttons).",Trust,High
