principle,characteristics,dos,donts,category,severity
Reach-Based Navigation,Navigation patterns should accommodate how users physically hold and reach across mobile devices.,Use bottom tab menus for high accessibility; place primary controls in areas easily accessible by the thumb.,Do not place primary navigation in the top-left or top-right corners (like hamburger menus) as they are the least accessible for one-handed use.,Touch,High
Unified,Each piece is part of a greater whole and should contribute positively to the system at scale. No isolated features or outliers.,Ensure every component addresses all four design principles to maintain a cohesive ecosystem.,Do not create isolated features or design elements that do not fit into the broader system architecture.,Product Detail,High
Universal,Agnostic to device and accessible to all; designed for a global family across 27 languages.,Consider the entire extended family of users and ensure cross-platform compatibility.,Do not design for a single device type or ignore accessibility and language requirements.,Product Detail,High
Clarity over Beauty,The hierarchy of priorities where clarity and efficiency always precede aesthetic concerns.,Ensure the message of a talk or item is fully legible even if it requires a less 'perfect' layout.,Do not clip or hide important content (like long titles) just to maintain a clean visual look.,Search,High
Simple Motion,Clear and to the point; easy-to-follow actions that do not distract from the primary task.,Use motion to simplify the user experience and respect the user's time.,Do not use motion that distracts from the primary task.,Cart,High
Productive Motion,Creates a sense of efficiency and responsiveness while remaining subtle.,"Use for micro-interactions like button states, dropdowns, and data table rendering.",Do not use dramatic or slow animations in task-heavy productivity contexts.,Checkout,High
Coherent Transition Logic,Entrances should inform exits to establish spatial orientation.,"Animate objects back to their origin point (e.g., if it entered from bottom, exit to bottom).","Do not have objects disappear in a direction unrelated to their entry, which confuses the user's mental map.",Cart,High
Ideal State Focus,The 'zenith' of the product's potential with maximum value and content.,Start design with the ideal state to set the tone for all other states.,Do not design empty or error states without first defining the ideal functional state.,Product Detail,High
Helpful Empty States,"The state seen when there is no data to show (first use, cleared data, or no results).",Tell the user exactly which button to press and why; use stand-in content to show potential.,Avoid saying 'Nothing to see here'; do not use oppressive 'coach marks' that cover the UI.,Search,High
Humane Interface Design,Designing for 'smart but busy' users and being considerate of human frailties.,Focus on 'intermediates' who want to get a task done quickly without feeling like a novice.,Do not force users to memorize abstract icons; use clear labels where possible.,Search,High
Implicit Data Labeling,Reducing clutter by removing redundant labels when formats or context are clear.,"Use formatting (like $ or @) to imply the nature of data; combine labels into values (e.g., '12 left in stock').",Don't use a 'label: value' format as a default; it gives equal emphasis to all data and creates noise.,Product Detail,High
Colorized Contrast Reinforcement,Ensuring text legibility over busy background images in hero sections.,Add a semi-transparent overlay (dark for light text) or use a text shadow with a large blur radius.,Don't slap a headline over a raw hero image without checking contrast across both light and dark areas.,Product Detail,High
Empty State Optimization,Turning empty views into opportunities for engagement and conversion.,"Incorporate illustrations and clear call-to-action buttons (e.g., 'Add First Item') in empty states.",Don't settle for 'No items found' text; it is boring and provides no path forward for the user.,Cart,High
Worst-Case Scenario Planning,Ensuring the product doesn't break under real-world data stress.,"Check designs with long blocks of text, translations, and missing or varied images.",Do not only design for 'best-case' or pretty artwork that will break in production.,Product Detail,High
Typography Legibility,Ensuring text is comfortable to read on digital screens.,Use at least 12pt (16pt/1em recommended); set line spacing (leading) to 1.5x font size; keep line lengths between 45-75 characters.,Avoid serif fonts for visually impaired users; don't use all-caps for long paragraphs; don't use moving or blinking text.,Product Detail,High
Feedback and State Reassurance,Confirming user actions through visual or auditory cues.,Use spinners or progress messages for loading states; use pressed states for buttons; provide feedback in multiple forms (visual + sound).,Do not leave a user wondering if an app has frozen during processing.,Checkout,High
Which Attributes to Include in the List Item,Providing enough info to decide whether to skip or explore a product.,"Include price, thumbnail, title/type, variations, and user ratings; add 1-3 category-specific attributes (e.g., dimensions for bags).",Overload the list item with too much information; use a 'one size fits all' attribute set for all categories.,Search,Harmful
Product Variations as One or Multiple List Items,"Strategy for displaying color, size, or material versions of a single product.","Combine variations into a single list item for minor or non-visual differences; display separate list items for meaningful visual differences (patterns, textures).",Clutter the list by showing every size or format as a separate item; fail to link variations in the database.,Product Detail,Harmful
Include Product Attributes Consistently Across List Items,Ensuring comparability between items in the same list.,"Explicitly state when an attribute is unavailable rather than hiding it; harmonize measurements (e.g., all in cm).","Show specs only for some products; use inconsistent labeling (e.g., 'Height' vs. 'Depth') for similar products.",Product Detail,Harmful
Product Specifications Should Be Separate Entities,Structuring information for scannability.,Distinguish product type from name using font weights or colors; use bullet points for key features.,"Mix brand, type, and specs into a single unstructured text blob in the title.",Product Detail,Harmful
Clearly Indicate Product Unavailability,Preventing detours to products that cannot be shipped or bought.,"Use high-contrast badges (e.g., 'Sold Out'); state when the item will be back in stock; mention pre-order options.","Use small, easily overlooked text labels; hide unavailability until the user reaches the product page.",Product Detail,Harmful
Always Have Thumbnails for All List Items,Visual anchors for product assessment.,Ensure every single list item has an image; prioritize image quality.,Show a 'No image available' placeholder; expect users to click items without a preview.,Search,Harmful
Avoid 'Quick Views',Removing intermediary steps that confuse site hierarchy.,Invest in better list item design and larger thumbnails instead; make the Quick View a gallery if it must exist.,Place the Quick View button in the middle of the thumbnail where it causes accidental clicks; make the Quick View look exactly like a product page.,Product Detail,Harmful
Allow Users to Combine Multiple Filter Values of the Same Filter Type,Multi-select capabilities within groups like color or brand.,Use 'OR' logic for values within a type; use checkboxes to signal that multiple items can be selected.,Reload the page and clear selections when a second value in the same group is clicked.,Search,Harmful
Diversity-Based Relevance Should Be the Default Sort Type,Ensuring the first page represents the full breadth of a category.,"Show 1-2 products of each major sub-type in the first 20 results; use a matrix of sales, ratings, and views.",Sort by price by default; allow a single popular sub-brand to dominate the entire first page of results.,Search,Harmful
Have unique category thumbnails,Users often mistake category thumbnails for specific products.,Crop thumbnails so they don't depict products in their entirety or use multi-product images to show category breadth.,"Don't depict a single specific product clearly, as users may think the link leads to that item only. Avoid thumbnails of products in packaging.",Search,Harmful
The list layout should match the product type,Spec-driven vs. Visually-driven products require different information density.,"Use grid-view for visually driven industries (apparel, furniture) to allow for large thumbnails. Use list-view for spec-driven products (electronics, appliances).","Don't use small thumbnails for visually driven products, as it increases pogo-sticking.",Search,Harmful
Default sort type should indicate category breadth,Initial results shape the user's perception of category boundaries.,"Use a default 'Relevance' sort that combines sales data, pageviews, and product type diversity.","Don't sort by 'Best Selling' by default if it clusters only one product type (e.g., all Star Wars toys) at the top.",Search,Harmful
When to Use a List View a Grid View or Both,Optimizing product presentation based on whether a purchase is spec-driven or visually-driven.,"Use List View for spec-driven products (electronics, appliances); use Grid View for visually-driven products (apparel, furniture); switch automatically based on context.",Use a one-size-fits-all approach for mixed product catalogs; hide prices in mobile grid views.,Search,Disruptive
Have Hierarchy-Based Breadcrumbs in Category Product Lists,Sense of space and site position for users traversing hierarchies.,Include hierarchy-based breadcrumbs on category pages; consider 'Sideways Breadcrumbs' for sibling category navigation.,Provide breadcrumbs only on product pages.,Search,Disruptive
