principle,characteristics,dos,donts,category,severity
Minimum Interactive Element Size,Physical size affects the ease of tapping or clicking. Too small targets lead to frustration and errors.,"Start with 44 x 44 points for mobile (50 points ideal). For cursor-based devices, 32 x 32 points is acceptable.",Do not make buttons smaller than the recommended minimum.,Navigation,High
Text to Background Contrast,"Contrast ratio determines readability and accessibility for users, including those with impaired vision.",Aim for at least AA contrast ratio between labels and backgrounds. Use saturation that works in light/dark modes.,Do not use low contrast ratios that make buttons look like decoration; avoid high contrast that causes eye strain.,Homepage,High
One Number 1 Priority,Clarity of the primary message or action takes precedence over aesthetics.,Identify the single most important thing you want users to see and do first.,Fragment the user experience with conflicting messages or multiple equal-weight calls to action.,Homepage,High
Make it Unbreakable,Designing for exploration and error prevention.,Design interactions so they are impossible to mis-tap; treat UI like a children's toy.,Create fragile interfaces where users can easily make irreversible errors.,Navigation,High
"Be Timeless, Not Cutting Edge",Prioritizing long-term utility and accessibility over temporary design trends.,Adopt technology only when it serves a proven purpose for the majority of users.,Introduce stylistic features like parallax effects just for the sake of following a trend.,Homepage,High
No Needless Parts,Every element must have a purpose contributing to the larger goal.,Remove any element if its purpose cannot be explicitly explained.,Add decorative elements that do not contribute to functionality or core brand message.,Homepage,High
Consistent Call to Action (CTA) Logic,Distinguishing between navigation and data manipulation.,Use buttons for changing/manipulating data; use links for navigating between pages.,Use primary button styles for simple navigation tasks that don't involve state changes.,Navigation,High
Working Software as Progress,Working software is the primary measure of progress.,Evaluate progress by the incorporation of design into functional code; demonstrate user stories.,Judge progress solely by the number of design artifacts produced or documentation.,Homepage,High
Technical Excellence and Good Design,Continuous attention to technical excellence and good design enhances agility.,Continually refine design decisions throughout the cycle.,Treat design as a one-time activity at the kickoff or milestone.,Homepage,High
Simplicity in Process,The art of maximizing the amount of work not done is essential. Focus on essential user needs.,Focus only on what is most necessary; seek the simplest way to write code.,Spend time on wireframes for implemented designs; squeeze in features without evaluating impact.,Homepage,High
Progressive Disclosure,The brain can only process a small amount of information at a time. Providing only what is needed avoids overwhelming users.,Show people what they need when they need it. Reveal details only as needed contextually.,Don't give too much information all at once. Don't worry about counting clicks if they reduce cognitive load.,Navigation,High
"Loads (Cognitive, Visual, Motor)",Different demands use different mental resources. Cognitive load is the most expensive.,Minimize cognitive load even if it increases motor load (clicks). Ensure targets are large enough (Fitt's Law).,Don't make people think or remember more than necessary. Don't make targets too small or far apart.,Navigation,High
Time Perception & Indicators,Time is relative; mental processing and expectations influence frustration.,"Always provide progress indicators (skeleton screens, average-color blocks). Keep task time consistent.",Don't make users wait without feedback; don't use empty white screens or center-page spinners only.,Homepage,High
Optimistic Interface / Actions,Providing instant responses to user actions even while background validations occur to reduce perceived latency.,Register an action instantly in the UI while syncing in the background.,Do not show a loading spinner for every minor interaction; don't make users wait for complex checks.,Homepage,High
Purposeful & Seamless Motion,Motion fits naturally into the experience with intention to help users reach goals.,Use animation to surface connections between states or provide feedback.,Do not use motion just for the sake of moving; avoid 'jokey' indicators for critical services.,Navigation,High
Duration Best Practices,Optimal timing changes based on viewport size and element complexity.,Use 100-200ms for small components; 500-700ms for page transitions.,Don't make users 'watch the clock' by using slow progress indicators or spinners.,Navigation,High
"Start with a feature, not a layout",The shell of the app is secondary to functionality. Designing features first provides navigation context.,"Start with a piece of actual functionality, like a search field or a specific button.",Don't start by designing the navigation bar or the page container.,Homepage,High
Don't design too much,Abstractly figuring out every edge case is inefficient. It is easier to solve problems in a usable interface.,"Work in short cycles: design a simple version, build it, and iterate on the working design.",Don't try to design every single feature and every edge case before moving to implementation.,Homepage,High
Limit your choices,Having too many options causes decision fatigue. Constraints facilitate consistency.,Define a restrictive type scale and a limited color palette (8-10 shades) in advance.,Don't pick values like font sizes or hex codes one pixel or shade at a time from a limitless pool.,Homepage,High
Text needs consistent contrast on images,Background images are dynamic and can make text unreadable.,Add a semi-transparent overlay; lower image contrast; or add a soft text shadow to increase legibility.,Don't place text directly on a busy image without a contrast-improving treatment.,Homepage,High
Users & Environment,Design decisions should be based on target audience demographics and physical context.,"Account for viewing distance, indoor/outdoor use, and input methods; adjust text size and contrast.",Don't ignore the suitability of the interface style for age groups; don't apply mobile variables to TV.,Homepage,High
Accessibility & Legibility,"Inclusive design benefiting all users, including those with impairments.",Use minimum 12pt font (16pt preferred); build accessibility into the process from the start.,Don't rely on one sense alone; don't use serif type or italics for large blocks; avoid 'Click here'.,Homepage,High
Consistency,Maintaining predictable behavior and layout across multiple screens.,"Keep margins and placement of common items (title bars, back buttons) the same; use grids.",Don't allow objects to 'jump around' between different views of the interface.,Navigation,High
Touch Targets,Sizing interactive elements for finger/thumb operation.,Use a minimum touch area of 7mm x 7mm; leave at least a 2mm gap between items.,"Don't place touch targets too close together, leading to accidental presses.",Navigation,High
Error Prevention & Tolerance,"Designing to minimize user mistakes through constraints, feedback, and safe arrangement.",Use warnings and confirmations; provide default values; allow undos.,Don't let users cruise through hazardous procedures on 'autopilot'.,Navigation,High
Interusability,Making the overall experience feel like a coherent service across multiple devices.,Specify which functionality belongs on each device; create guidelines that span multiple device types.,Don't treat devices as isolated cells; avoid disjointed UIs.,Navigation,High
Direct Manipulation Consistency,"Interfaces depend on visual representation of objects and rapid, reversible operations.",Ensure interface actions are aligned with user understanding; provide immediate feedback.,Don't distance the user from the consequences of their actions.,Navigation,High
Gradual Engagement,Allowing users to experience benefits before requiring investment of effort or data.,Let users engage with core features before asking them to sign up; prompt for sign-in during task saving.,Don't use 'Sign up' and 'Sign in' together as the terms are confusingly similar.,Homepage,High
Welcome changing requirements,"Agile processes harness change for competitive advantage, even late in development.",Solicit feedback often; embrace additions or subtractions from the prioritized list.,Stick blindly to a roadmap; lock down requirements very early (Waterfall style).,Homepage,High
Frequent delivery,"Deliver working software frequently, with a preference for shorter timescales.",Aim for sprints typically between one and four weeks; deliver shippable functionality.,Allow prototypes to remain unavailable; rely on long-release cycles that cause feature lag.,Homepage,High
Motivated Individuals,Build projects around motivated individuals; give them support and trust.,Trust the team to make necessary decisions that affect the final output.,Treat staff as interchangeable resources rather than human beings with unique skills.,Homepage,High
Perceptible Information,Design communicates necessary info regardless of ambient conditions or sensory abilities.,"Use different modes (pictorial, verbal, tactile) for redundant presentation of essential information.",Not in source,Homepage,High
Flexibility in Use,The design accommodates a wide range of individual preferences and abilities.,Provide choice in methods of use; accommodate right- or left-handed access.,Not in source,Navigation,High
Feature Broad Range of Types on Homepage,First-time users rely on homepage visuals to infer the site's product catalog and breadth. Narrow selections lead to misinterpretation.,Ensure a broad selection of different product types are featured; use images or thumbnails; dedicate space to non-popular categories.,Only feature a small selection of product types; assume users will know the site sells other items.,Homepage,Harmful
Filters vs. Categories for Shared Attributes,"Wrongly implementing filters as categories prevents users from mixing criteria (e.g., 'mummy' + 'down' sleeping bag).",Use categories for mutually exclusive hierarchy scopes; use filters for attributes where multiple can be selected.,Implement product type as a category if attributes are the same across types; use brand-based categories.,Filtering,Harmful
Avoid Redundant and Overlapping Categories,Redundancy makes it difficult to know which option to select and makes the site look unprofessional.,Manually create the taxonomy; map manufacturer data to your own curated categories; check for combined categories.,Use auto-generated categorization; reuse manufacturer categories without merging across vendors.,Categories,Harmful
Have Compatibility-Based Product List Pages,Users struggle to find and verify compatibility (e.g. laptop chargers). Completion rates are very low without explicit cross-linking.,Create unique pages for each compatibility product; include series-level pages; link these in cross-sell sections.,Assume users know their model's specific specs; force users to manually compare dimensions from different pages.,Categories,Harmful
Avoid Relying Solely on Thematic Categories,Users expect a site to be structured by 'type of product.' Purely thematic navigation breaks mental models.,Use thematic paths as secondary options; ensure the core navigation is based on product types.,Replace product type categories with brand or occasion categories entirely.,Categories,Harmful
Main Nav Categories as First Hierarchy Level,"Hiding categories behind a singular ""Products"" link causes double-hover issues and prevents inferring site type at a glance.","Place top-level categories permanently in the main navigation bar; use non-product categories (e.g. ""Deals"") alongside them.","Scope the entire catalog within a solitary ""Products"" item; use double-hover activation areas with short heights.",Navigation,Harmful
Site-Wide Courtesy Navigation Separation,"Non-product links (Contact, Sign-in, Shipping) clutter the header but are vital for those who need them.",Use white space or background colors to separate courtesy links; group them into sections; include a 'Shipping' link.,Place courtesy navigation below primary product navigation; omit vital policy links from the header entirely.,Navigation,Harmful
Have First 1-2 Levels as Sub-Category Pages,"Sub-category pages act as storefronts, clearing up ambiguity via thumbnails and descriptions before showing products.","Display sub-categories high on the page; include thumbnails; provide a ""View All"" option for each scope.",Display a product list for broad categories; push sub-category links below the fold with featured products.,Categories,Harmful
Avoid Dividing or Sub-Dividing Product Lists,Thematic divisions make lists hard to sort and can lead users to think they've reached the end of results prematurely.,Use product type filters instead of sectional dividers; show a single continuous list of products.,Divide lists into thematic sections on one page; use product sliders or tabs to sub-divide featured results.,Categories,Harmful
Standardized Specifications,"To minimize deviations, modules are specified precisely in master files.","Define typography treatments, use an 8-pixel grid for spacing, and document interactions precisely.",Allow inconsistent naming or deviations from the master Sketch file across platforms.,Navigation,High
