Principle,Main Characteristics,Do's,Don'ts,Other Characteristics,Severity
Feature a sufficiently broad range of product types on your homepage,First-time users rely on homepage content and main navigation to determine site type and catalog breadth. Narrow selections lead to misinterpretation.,Ensure a broad selection of different product types are featured; dedicate space to various categories even if some are more popular; use images or thumbnails for featured product types.,Don't feature only a small selection of product types; don't allow users to conclude the site has a narrow range because only one type (e.g. shoes) is visible.,Homepage; E-commerce platform; How People See,Harmful (Harmful to brand perception and sales)
Filters vs. categories,Categories are mutually exclusive (part of hierarchy); filters narrow a list by attributes (not mutually exclusive). Mixing them up limits search capability.,"Implement product type, brand, and style as filters when attributes are shared; use categories only to serve as scopes that share distinct attributes (like 'size').",Don't implement product style as a category if it prevents combining criteria (e.g. 'down' + 'mummy' sleeping bags).,Category Taxonomy; Logic/Mental Models; How People Find,Harmful (Critical barrier to finding specific items)
Equitable Use,The design is useful and marketable to people with diverse abilities.,Provide identical means of use for all users whenever possible; make the design appealing to all.,Segregate or stigmatize any users; provide inconsistent privacy or safety measures based on ability.,Universal Design; General platform context.,High - Fundamental human rights and accessibility constraint.
Tolerance for Error,The design minimizes hazards and adverse consequences of accidental actions.,Arrange elements to minimize hazards; provide fail-safe features; discourage unconscious action in hazardous tasks.,Place critical 'delete' or 'stop' buttons where they can be hit accidentally without confirmation.,Universal Design; Safety-critical systems.,High - Survival and safety emphasis.
Perceptible Information,The design communicates necessary information effectively regardless of ambient conditions or sensory abilities.,"Use redundant pictorial, verbal, or tactile cues; provide adequate contrast.","Rely on a single sensory channel (e.g., sound only) for critical alerts.",Universal Design; Multi-modal interfaces.,High - Essential for safety and inclusive interaction.
Normal spacing between letters is essential for legibility in photo-typesetting.,Too narrow a setting of letters makes reading difficult.,Insist on normal spacing (spationierung) when ordering photo-typesetting.,Use narrow or irregular letter spacing that impairs word recognition.,How People See; Digital/Photo Typography,High (Legibility is a critical failure point)
The right width of column is essential for an even reading rhythm.,Optimal line length prevents fatigue; usually 7 to 10 words per line for normal reading distance.,Calculate column width based on typeface size and a 30-35 cm reading distance.,Use overlong lines (strenuous to track) or overshort lines (energy wasted on frequent line changes).,How People See; Reading Mechanics,High (Prevents cognitive fatigue)
Good leading carries the eye optically from one line to the next.,Vertical distance between lines provides stability and confidence during reading.,Use sufficient leading to prevent the eye from taking in neighboring lines at the same time.,Set lines too narrowly (impairs speed) or too widely (breaks link between lines).,How People See; Reading Mechanics,High (Ensures comprehension and stability)
Information presented with clear and logically set out hierarchies is better understood and retained.,"Clear titles, subtitles, texts, illustrations, and captions facilitate faster reading and better memorability.",Organize text and pictures systematically; use clear and logically set out titles and captions.,"Mix different styles of typefaces (e.g., Helvetica with Univers) or use inconsistent positioning.",How People Remember; Information Architecture,High (Direct impact on cognitive load and memory retention)
Contrast between type sizes must be clearly recognizable.,"Clear differences in size and weight (e.g., 9-pt vs 6-pt) facilitate categorization of information.","Use distinct colour values (light grey for medium, deep grey for bold) to differentiate text levels.","Mix characters of the same style/family (e.g., Helvetica with Univers) in a way that creates ambiguity.",How People See; Information Hierarchy,High (Essential for quick scanability)
Dependency Inversion Principle (SOLID),High-level classes shouldn't depend on low-level classes; both should depend on abstractions.,Describe interfaces for low-level operations in business terms; make high-level logic depend on these interfaces.,Make business logic classes dependent on primitive low-level details like disk writing or network protocols.,SOLID Principles; Architectural Layers.,High (Enables switching low-level details without affecting core business logic)
Open/Closed Principle (SOLID),Classes should be open for extension but closed for modification to prevent breaking existing code when adding features.,Produce subclasses to override parts of a class for different behavior; use the Strategy pattern.,Change the code of a class directly once it is developed and tested (except for bug fixes).,SOLID Principles; Feature Implementation.,High (Protects existing clients from regression bugs while allowing growth)
Favor Composition Over Inheritance,Use 'has a' relationships instead of 'is a' relationships to avoid combinatorial explosion of subclasses.,Delegate behaviors to other objects; use composition/aggregation; replace behavior at runtime.,"Extend classes in several independent dimensions (e.g., cargo type x engine type); rely solely on parallel inheritance hierarchies.",Software Design Principle; Flexibility.,"High (Avoids rigid, unmanageable class hierarchies and duplicate code)"
Encapsulate What Varies,Identify the aspects of your application that vary and separate them from what stays the same to minimize effects caused by changes.,Isolate parts of the program that vary in independent modules; divide logic into independent compartments.,Mix tax calculation code or varying logic with the rest of a method's primary code.,Software Design Principle; Architecture optimization.,High (Reduces system failure risks and cognitive load during maintenance)
"Principle 2: Welcome changing requirements, even late in development",Harnesses change for the customer's competitive advantage rather than viewing it as a disruption.,Solicit user feedback early and often; use Agile mechanisms to accommodate late revisions.,Defer critical feedback to unspecified future releases that may never happen.,How People See (UX lens); General software development.,High
Principle 3: Deliver working software frequently,Prefers shorter timescales (weeks to months) to allow for frequent influence of design and research.,Use working code for user research and influenced shipping cycles.,Rely exclusively on rough prototypes or wait until late in the cycle for working code.,How People Remember (UX lens); General software development.,High
Principle 6: Face-to-face conversation is the most effective method,Values in-person interaction to avoid the loss of information from facial expressions and body language.,Use collaborative whiteboarding and digital sketching tools for remote teams.,Rely solely on email or instant messaging for complex design concepts.,How People Communicate (UX lens); Distributed and colocated teams.,High
Principle 8: Promote sustainable development,"Maintains a constant pace that sponsors, developers, and users can sustain indefinitely.",Develop skills in estimating effort for small increments of work and load balance UX tasks.,Routine 80-hour workweeks or overcommitting the team to unrealistic deadlines.,How People Focus (UX lens); Professional workload context.,High
Principle 10: Simplicity—the art of maximizing the amount of work not done,Focuses on essential tasks and being strategic about which activities are most effective.,Question the need for wireframes if a design solution is already agreed upon and being coded.,Spend time on extraneous tasks or habits like producing sketches out of a sense of obligation.,How People Focus (UX lens); Workflow optimization.,High
DesignOps mindset: Focus on the 'how' so design can focus on the 'what'.,"Operationalizing, optimizing, and scaling design through standardized processes.",Use common naming structures for files; standardize toolstacks; conduct discovery research on team pain points.,Let talent leave due to boredom or repetitive manual tasks; ignore the human experience of the team.,Process/Workflow; Platform Agnostic,High (Scalability and organizational health)
Recognition over Recall,Users are better at recognizing previously experienced items than recalling them from memory.,Show recently viewed items; provide clear thumbnails and labels; use familiar icons.,Force users to remember specific paths or item details across screens.,Psychological Category: How People Remember; Category: Persuasive UX Patterns.,High (Cognitive Load)
One number 1 priority,Every screen or section must have a single most important action or message.,"Make the primary CTA visually distinct (e.g., 'Boss' button); hide secondary actions in menus.",Compete for attention with multiple equally styled primary buttons.,Psychological Category: How People Focus; Category: Design Principles.,High (Cognitive Load)
Time Value / Simplicity,Users value efficiency and speed in achieving their goals.,"Make interactions short, simple, and fast; remove needless parts; use clear signposting.",Add friction with unnecessary steps or complex UI decorations that don't serve the task.,Psychological Category: Human Motivation; Context: Busy professionals.,High (Task Efficiency)
Safe for Exploration (Unbreakable),Design should allow users to explore without fear of making mistakes.,Make buttons large enough to tap easily; use undo options instead of complex confirmations.,Place destructive actions (Delete) next to frequent positive actions.,Psychological Category: How People Feel; Platform: Mobile/Touch.,High (User Trust)
The Serial Position Effect,The start and end of an experience are the most critical points in determining a person's memory of the event.,"Ensure the first and last interactions are high quality and satisfying ('Start strong, End strong').","Don't neglect the final steps of a user journey, such as confirmation screens or logout.",How People Remember,High (Psychological impact on brand/loyalty)
SUCCES: The Six Keys of Memorability,"Ideas stick when they are Simple, Unexpected, Concrete, Credible, Emotional, and use Stories.",Break complex tasks into simple steps; use concrete language and anecdotes.,Avoid unnecessary abstraction which increases cognitive load.,How People Remember; How People Think,High (Cognitive load management)
Thumb Zone Ergonomics,Most users hold phones one-handed with the thumb anchored at the bottom-right.,Place primary actions at the bottom of the screen; design for a natural sweeping thumb arc.,Place frequently used buttons in the 'Ow' zone (top-left/top-right); assume users will change their grip to reach controls.,How People Move (Ergonomics); Platform: Mobile (Large Screen),High (Physical/Biological Constraint)
Transitional Volatility,The degree of reorientation a person experiences when moving between pages or touchpoints.,Design for coherency across all touchpoints; bridge gaps so users don't have to.,Force users to re-learn navigation on every page; provide inconsistent experiences across different channels (web/phone).,How People Remember/Navigate; Platform: Multi-channel Systems,High (Cognitive Load/User Retention)
Progressive Disclosure (Implicit),Users are smart but busy; they move from being 'noobs' to intermediates and need relevant info at each stage.,Focus design efforts on intermediates; provide clear labels rather than abstract icons.,Overwhelm first-time users with 'coach marks' or instructional overlays; treat users as experts from the first interaction.,How People Learn; Platform: Software Interfaces,High (Cognitive Load)
Visual Weight Priority,"Contrast, size, and depth direct the user's attention to the most important elements.",Make important buttons higher contrast; make primary actions larger.,Make the logo the biggest element unless it is the primary goal; use high contrast for secondary/background tasks.,How People See; Platform: Visual Design,High (Decision Making/Focus)
"Start with a feature, not a layout","Design actual functionality instead of the application shell (nav bars, sidebars, logos).",Start with a piece of actual functionality like 'searching for a flight'.,Don't design the navigation bar or top nav first.,Starting from Scratch; Web/App design.,High
Don't design too much,Avoid designing every single feature and edge case before implementation.,Work in cycles; build a simple version of the next feature and make it real.,"Don't try to figure out every edge case (e.g., 2000 contacts) using only a design tool.",Starting from Scratch; Product management.,High
Limit your choices,Reduce decision fatigue by defining restrictive systems in advance.,Choose from a pre-defined set of 8-10 shades or a specific type scale.,Don't reach for the color picker or tweak font sizes one pixel at a time manually.,Starting from Scratch; Design Systems.,High
Establish a spacing and sizing system,Use a constrained set of values rather than arbitrary pixel counts.,"Use a non-linear scale (e.g., multiples of 16 px) where jumps are at least 25%.",Don't nitpick between 120 px and 125 px.,Layout and Spacing; Design Systems.,High
Establish a type scale,Limit the number of font sizes used in an interface.,"Use a hand-crafted scale (e.g., 12, 14, 16, 18, 20, 24, 30...); use rem or px units.",Don't use em units for nested font sizes; avoid mathematical modular scales that create fractions.,Designing Text; Typography.,High
Semantics are secondary,"Action buttons should be designed based on hierarchy (Primary, Secondary, Tertiary).","Use solid, high-contrast colors for primary actions; use links for tertiary.","Don't design buttons purely on semantics (e.g., making every 'Delete' button big and red).",Hierarchy is Everything; Interaction design.,High
Avoid ambiguous spacing,Use spacing to connect related elements and separate distinct groups.,Ensure there is more space around a group than there is within it.,Don't use the same margin below a label as you do below the input field.,Layout and Spacing; Cognitive load.,High
Users' needs should guide design,Primary consideration for all design decisions to help users carry out tasks quickly.,"Structure products so tasks are completed fast. Use skeuomorphic touches for older, less tech-savvy users.",Don't ignore the specific demographics of the target audience.,How People Think; User-centered design,High
Environment influences operation,The physical space and platform (TV vs. Mobile) change usage variables.,"Consider viewing distance and input methods (e.g., remote for TV). Adjust text size and contrast for the specific environment.",Don't design for TV the same way you design for a mobile phone.,"How People See; Platform: TV, Mobile",High
Visual Hierarchy guides consumption,"Layout, color, and typography influence where the eye is drawn.",Use high contrast and bold type for important items. Place items in the order you want them consumed.,Don't make all elements equal in weight; users won't know where to look first.,How People See; Layout design,High
Typography is essential for information,"Most information is conveyed through text, requiring legible sizes and leading.",Use at least 12pt font (16pt is better). Keep line lengths between 45-75 characters.,Don't accept default font settings; ensure leading is at least 1.5x type size.,How People Read; Typography,High
Color and Shape have specific meanings,Norms like green/ticks for 'good' and red/crosses for 'bad' are established.,Use yellow triangles for warnings and blue circles for information.,Don't jumble these norms as it causes user confusion. Don't rely on color alone for accessibility.,How People See; Information Design,High
Clarity prevents cognitive overload,Designs should be concise to avoid overwhelming users.,Show only relevant context; use progressive disclosure for more details.,Don't display all content at once if it isn't necessary for the immediate task.,How People Think; Cognitive Load,High
People identify objects by recognizing patterns,The brain uses 24 basic geometric shapes (geons) to identify objects.,Use grouping and white space to create patterns; use simple geometric drawings for icons.,"Favor 3D elements over 2D, as 3D may slow recognition.",How People See; Geon Theory.,High
People scan screens based on past experience and expectations,"Users look at the center first, avoiding edges, and follow their culture's reading patterns.",Place important information in the top third or middle of the screen.,Put important content at the edges of the screen.,How People See; Computer screens/Web sites.,High
People believe that things that are close together belong together,"Proximity implies relationship, following Gestalt principles.",Put items in close proximity to show they are related; use whitespace instead of lines to group.,"Ignore spacing between unrelated items, which can cause confusion.",How People See; Layout design.,High
What you see isn't what your brain gets,The brain interprets sensory input based on expectations and creates shortcuts like the Kanizsa triangle.,Influence perception using shapes and colors; consider user background and familiarity.,Assume users see a realistic representation of what is physically there.,How People See; universal biological constraint.,High
"When to Use a List View, a Grid View, or Both",Grid views favor visually-driven purchases; list views favor spec-driven purchases with more detail.,Use Grid View for apparel/furniture; use List View for electronics/tools; ideally switch automatically based on category.,Don't use a 'one size fits all' layout; don't hide vital info (price/title) when switching to grid view on mobile.,How People See; Visual vs Spec-driven product verticals.,Disruptive
Show Total Number of Items in the Currently Displayed Product List,Users use the total result count to gauge search quality or category scope appropriateness.,Display the count above and below the list; integrate count into the title or header.,Don't hide result count; don't make it look like pagination links.,Cognitive Load; Search results.,Disruptive
Use 'Load More' Instead of Endless Scrolling and Pagination,Pagination feels slow; endless scrolling makes footers inaccessible. 'Load More' buttons balance flow and control.,Use 'Load More' with lazy-loading for categories; use 'Load More' alone for search and mobile.,Don't use pagination on mobile; don't use endless scrolling for search results.,How People Decide; Interaction performance.,Disruptive
Include Both the User Rating Average and Number of Ratings,Users rely on 'Social Proof'; averages are not trusted without seeing the number of votes.,Always display the count of ratings next to stars; use labels like '11 reviews'.,Don't show a 5-star average alone; don't hide the rating area if there are zero reviews (use 'Not yet rated').,How People Think (Social Proof); Reliability.,Disruptive
Always Indicate Essential Product Variations in the List Item,Users assume only the displayed version exists if no indicators are present.,Show color swatches or text labels like '5 more sizes'; show visual previews on hover.,Don't hide variations until click; don't use generic labels like 'More options' when specific ones like '6 screen sizes' fit.,How People See; Product findability.,Disruptive
Numeric Product Specs Need Proper Labels and Units,"Ambiguous numbers force users to guess meaning, leading to incorrect assessments.","Include units (e.g., 'Fahrenheit', 'kg'); use explicit labels for all numeric values.",Don't list numbers in isolation; don't assume units are self-evident.,Cognitive Load; Information scent.,Disruptive
"Logic for Sorting 'Customer Ratings' Should Be Based on User Expectations, Not Arithmetic",Users value a 4.5-star product with 50 reviews over a 5-star product with 1 review.,"Use a statistical mix of average and quantity; use a cut-off (e.g., minimum 5 ratings).",Don't sort by raw arithmetic average alone; don't place unvetted 5-star products at the top.,How People Think; Trust and Social Proof.,Disruptive
Avoid placing ads in prime content locations on the homepage,"Internal ads and banners are perceived negatively, especially when placed in middle columns or top sections. Pop-ups and overlays are viewed as 'spam'.","Be mindful of size, placement, and integration with overall design; ensure legitimate promotions don't look like external ads.",Avoid pop-up banners or dialog overlays on load; don't use fixed blocks for internal 'ads' that mimic standard ad layouts.,Homepage; Cognitive Load; Banner Blindness,Disruptive (Causes full stop or negative brand tone)
Carousel limitations and auto-rotation,Users rarely see all slides in a carousel; usually only the first slide. Fast rotation causes frustration; lack of hover-pause leads to misclicks.,Set rotation time to 5–10 seconds depending on text; pause auto-rotation on mouse hover; permanently stop auto-rotation after any user interaction (clicking next/prev).,Don't make vital site features (like wizards) accessible only via carousel slides; don't rotate slides too quickly.,Homepage; Device: Desktop/Laptop (contrast with mobile); How People See,Disruptive (Users miss content or click wrong links)
Assist selection of a well-defined scope from the homepage,Quickly finding a relevant scope increases success rates. Landing in the wrong scope leads to false conclusions that the site lacks the product.,List popular categories and sub-categories directly on the homepage; embed wizards or product finders.,Don't force users to plow through the entire taxonomy to reach a defined scope; don't rely only on generic top-level categories.,Homepage; Information Architecture; How People Navigate,Disruptive (Causes detours or abandonment)
Support users' expectation of finding accessories within high-level categories,Users expect accessories (e.g. laptop bags) to be nested within the parent product category (e.g. PCs & Laptops) rather than a global 'Accessories' category.,Place an 'Accessories' sub-category within relevant high-level categories; cross-link related accessory categories.,Don't pollute the default parent category product list with accessory items; keep them in their own sub-category.,Category Taxonomy; Mental Models; How People Remember/Group,Disruptive (Users look in 'logical' place and find nothing)
"Consider having a ""drop-down"" menu",Mega menus allow users to infer catalog depth without clicking. They help avoid detours to wrong parent categories.,Use a hover delay of 300–500ms; use a mouse-path algorithm to prevent accidental closure when moving diagonally.,Don't make menus 'flickery'; don't show the menu without a delay.,Main Navigation; Device: Mouse/Trackpad (Desktop); How People Navigate,Disruptive (Poor control causes user frustration)
Direct Manipulation,"Depend on visual representation of objects, physical actions instead of syntax, and immediate visible effects.",Provide immediate feedback; allow actions to be reversed; align interface actions with user understanding.,Use complex syntax; force users to use logical conditions for simple tasks.,Interaction Design; Desktop/Mobile interfaces.,Medium - Reduces cognitive load and makes interfaces predictable.
Asynchronous IoT Interaction,"Battery-powered devices connect intermittently to save power, leading to status discontinuities.",Handle network outages gracefully; explain to users why devices might be out of sync.,Assume constant connectivity; show conflicting status information without explanation.,Interusability; IoT/Battery-powered devices.,Medium - Impacts user trust and conceptual model of the system.
Flexibility Usability Trade-off,"As the flexibility of a system increases, its usability often decreases.",Strike a balance between feature richness and ease of use; use secondary devices for complex rare tasks.,Bloat a simple device interface with capabilities that are rarely needed.,Interaction Design; Embedded devices.,Medium - Critical for agent decision-making regarding feature prioritization.
Cognitive Dissonance in Purchasing,"Users experience doubt, regret, or anxiety after a purchase (internal inconsistency).",Reassure customers after a sale; provide honest information pre-purchase.,Share insufficient information that leads to misaligned expectations.,Brand Story / Psychology of Conversion; E-commerce/SaaS.,Medium - Affects long-term user retention and brand relationship.
Habit Loop (Cue-Routine-Reward),Habits are automatic behaviors triggered by a cue and reinforced by a reward.,"Identify a clear, unambiguous cue; provide an immediate meaningful reward.","Expect users to repeat complex, varying tasks to form a habit; use ambiguous triggers.",How People Remember / Behavior Change; Health/Fitness apps.,Medium - Key to sustainable behavior change without constant willpower.
Principle 4: Business people and developers must work together daily,Reduces communication gaps and fosters sensitivity to business drivers within the production team.,Include designers in daily business strategy and product initiative conversations.,Allow development managers to be the only ones attending high-level business meetings.,How People Decide (UX lens); Strategic business context.,Medium
Principle 5: Build projects around motivated individuals,Provides an environment of support and trust to empower team decision-making.,Match work to individual skillsets and interests to yield better results and higher morale.,Treat staff as interchangeable resources without regard for strengths or skills.,How People Focus (UX lens); Team organizational context.,Medium
"Principle 11: The best architectures, requirements, and designs emerge from self-organizing teams",Empowers the people closest to the project to control the timing and flow of their work.,Work collaboratively on design and allow developers with a 'good eye' to contribute.,Control every design decision from a central authority without team input.,How People Work (UX lens); Collaborative team structure.,Medium
People imagine objects tilted and at a slight angle above,The 'canonical perspective' is the universal way people remember and recognize objects.,Draw icons and objects from a perspective slightly above and offset to the side.,Show objects from a top-down or direct 2D perspective if fast recognition is needed.,How People See; General objects/icons.,Medium
People can miss changes in their visual fields,Inattention blindness occurs when users are focused on a task and don't expect changes.,Add visual cues like blinking or beeps to signal a refreshed screen change.,Assume a user noticed a change just because it appeared on the screen.,How People See; Cognitive load.,Medium
Red and blue together are hard on the eyes,Chromostereopsis causes depth perception issues where one color jumps out and another recedes.,Maintain high contrast between foreground and background.,Place blue and red or green and red near each other; use blue text on a red background.,How People See; Visual ergonomics.,Medium
Standardized paper sizes (DIN) facilitate storage and impact.,"Standard sizes (A-series) fit into files, indexes, and standard envelopes efficiently.",Employ standardized DIN system sizes for printed matter.,Use custom sizes that result in paper waste and increased production costs unless absolutely necessary.,Physical Context; Print and Logistics,Moderate (Economic efficiency and user utility)
Marginal proportions influenced by the Golden Section enhance reading pleasure.,A well-proportioned margin provides technical safety for trimming and aesthetic relief.,Use mathematical formulas like the Golden Section to calculate margins; make margins wide enough to hold the book without covering text.,Make margins too narrow (risk of text mutilation during trimming) or exactly equal (creates dullness).,Aesthetics; Ergonomics,Moderate (Enhances UX and production safety)
"The fewer the differences in the size of the illustrations, the quieter the impression created by the design.",Uniformity in visual elements reduces visual noise and promotes a sense of calm and order.,Reduce pictorial elements to a few formats of the same size.,"Use many different picture sizes unless intended to create a restless, high-energy effect.",How People See; Layout Design Principles,Moderate (Aesthetic clarity and cognitive ease)
"Program to an Interface, not an Implementation",Depend on abstractions rather than concrete classes to ensure flexibility for future extensions.,Determine what an object needs from another; describe methods in an interface/abstract class; make dependencies implement that interface.,Make classes tightly coupled to concrete employee or collaborator classes.,Software Design Principle; OOP Pillars.,Medium (Improves flexibility and extensibility without breaking existing code)
Interface Segregation Principle (SOLID),Clients shouldn't be forced to depend on methods they do not use.,"Break down 'fat' interfaces into granular, specific ones; implement only necessary methods.",Cram tons of unrelated methods into a single interface; force clients to implement stubs for unused methods.,SOLID Principles; Decoupling.,Medium (Reduces impact of interface changes on unrelated client code)
F-Pattern Alignment,Users typically scan digital content from top to bottom along the left edge.,Align buttons and Call-to-Action elements along the left edge or at the bottom of descriptive content.,"Place the strongest visual element in the middle of a scan path, forcing eyes to travel back and forth.",UI Design; How People See; Desktop/Mobile context.,Medium (Optimizes for natural human scanning behaviors and reduces cognitive effort)
Direction over Choice,Reducing the number of options helps users focus on the primary task.,Limit formatting options in editors to encourage writing; use single-column layouts for focus.,Overwhelm users with infinite settings or buttons that distract from core purpose.,Psychological Category: How People Decide; Case: Medium Editor.,Medium (Task Completion)
Visual Loudness Scaling,Elements should have a visual volume corresponding to their importance.,Use high-contrast typography for major headers; use 'Scream' modules for promotions and 'Whisper' for tips.,Make secondary information as loud as primary calls to action.,Psychological Category: How People Scan; Category: Functional Patterns.,Medium (Visual Hierarchy)
Timelessness over Trend,Prioritizing long-term utility and accessibility over current stylistic trends.,"Stick to proven UI patterns; prioritize performance over flashy effects (e.g., parallax).",Adopt new technologies or styles purely for novelty if they hinder the user experience.,Psychological Category: Mental Models; Case: TED.,Medium (Longevity/Accessibility)
Social Proof / Connection,Users are motivated by the presence and feedback of others.,Show discussion threads; display learner counts; use visible testimonials.,Hide social interactions in areas intended for collaborative learning.,Psychological Category: Social Learning; Case: FutureLearn.,Medium (Engagement)
People reconstruct memories every time they remember them,Memories are not static; they change over time and the most vivid ones are often erroneous.,"Focus design on the memory that will remain rather than just the immediate experience; use 'start strong, end strong' strategies.",Don't assume user feedback after a task is a 100% accurate representation of the literal events.,How People Remember,Medium (Cognitive bias)
Anecdotes are more persuasive than data,Personal stories have more power to influence human belief and memory than raw data points.,Use storytelling and user scenarios to communicate design value and persuade stakeholders.,Don't present data in isolation without a narrative context.,How People Think,Medium (Communication strategy)
Surpassing expectations creates lasting memories,"Surprising users with positive, unexpected value creates a much stronger mental impression than standard service.","Incorporate 'Easter eggs' or helpful unexpected alerts (e.g., Gmail's missing attachment reminder).",Not in source,How People Remember,Medium (Affective design)
Animation is a tool for brand messaging,"Motion conveys personality, tone, and brand perspective, similar to color and typography.",Establish a consistent motion vocabulary that reflects brand attributes; use custom easing curves.,Use mismatched or arbitrary animations that create a 'mish-mash' experience; use default OS easing for branded elements.,How People Perceive; Platform: Design Systems,Medium (Cognitive/Brand Consistency)
