Principle,Main Characteristics,Do's,Don'ts,Platform/Classification,Severity
Limit Work In Progress (WIP),Kanban principle to reduce average lead time and improve quality.,Address blocking issues quickly; reduce queue and buffer sizes.,Take on more tasks than the team's capacity allows simultaneously.,General Software / E-commerce,High
Active Stakeholder Participation,Agile modeling value where representatives provide info and make decisions in real-time.,Involve stakeholders daily; invite them to iteration reviews to provide feedback.,Exclude the organization or work in a vacuum within a single delivery team.,General Software / E-commerce,High
Progressive Disclosure,The brain can only process a small amount of information at a time. Providing only what is needed avoids overwhelming users.,Show people what they need when they need it. Reveal details only as needed contextually.,Don't give too much information all at once. Don't worry about counting clicks if they reduce cognitive load.,Web / Software,High
"Loads (Cognitive, Visual, Motor)",Different demands use different mental resources. Cognitive load is the most expensive.,Minimize cognitive load even if it increases motor load (clicks). Ensure targets are large enough (Fitt's Law).,Don't make people think or remember more than necessary. Don't make targets too small or far apart.,General UI / Desktop,High
Time Perception & Indicators,Time is relative; mental processing and expectations influence frustration.,"Always provide progress indicators (skeleton screens, average-color blocks). Keep task time consistent.",Don't make users wait without feedback; don't use empty white screens or center-page spinners only.,General / UX,High
Optimistic Interface / Actions,Providing instant responses to user actions even while background validations occur to reduce perceived latency.,Register an action instantly in the UI while syncing in the background.,Do not show a loading spinner for every minor interaction; don't make users wait for complex checks.,Mobile / Software,High
Purposeful & Seamless Motion,Motion fits naturally into the experience with intention to help users reach goals.,Use animation to surface connections between states or provide feedback.,Do not use motion just for the sake of moving; avoid 'jokey' indicators for critical services.,All Platforms,High
Duration Best Practices,Optimal timing changes based on viewport size and element complexity.,Use 100-200ms for small components; 500-700ms for page transitions.,Don't make users 'watch the clock' by using slow progress indicators or spinners.,Mobile / Desktop / Tablet,High
"Start with a feature, not a layout",The shell of the app is secondary to functionality. Designing features first provides navigation context.,"Start with a piece of actual functionality, like a search field or a specific button.",Don't start by designing the navigation bar or the page container.,Desktop / General UI,High
Don't design too much,Abstractly figuring out every edge case is inefficient. It is easier to solve problems in a usable interface.,"Work in short cycles: design a simple version, build it, and iterate on the working design.",Don't try to design every single feature and every edge case before moving to implementation.,General UI / Dev,High
Limit your choices,Having too many options causes decision fatigue. Constraints facilitate consistency.,Define a restrictive type scale and a limited color palette (8-10 shades) in advance.,Don't pick values like font sizes or hex codes one pixel or shade at a time from a limitless pool.,Design Systems,High
Text needs consistent contrast on images,Background images are dynamic and can make text unreadable.,Add a semi-transparent overlay; lower image contrast; or add a soft text shadow to increase legibility.,Don't place text directly on a busy image without a contrast-improving treatment.,Images / Typography,High
Users & Environment,Design decisions should be based on target audience demographics and physical context.,"Account for viewing distance, indoor/outdoor use, and input methods; adjust text size and contrast.",Don't ignore the suitability of the interface style for age groups; don't apply mobile variables to TV.,General / TV,High
Accessibility & Legibility,"Inclusive design benefiting all users, including those with impairments.",Use minimum 12pt font (16pt preferred); build accessibility into the process from the start.,Don't rely on one sense alone; don't use serif type or italics for large blocks; avoid 'Click here'.,General,High
Consistency,Maintaining predictable behavior and layout across multiple screens.,"Keep margins and placement of common items (title bars, back buttons) the same; use grids.",Don't allow objects to 'jump around' between different views of the interface.,General,High
Touch Targets,Sizing interactive elements for finger/thumb operation.,Use a minimum touch area of 7mm x 7mm; leave at least a 2mm gap between items.,"Don't place touch targets too close together, leading to accidental presses.",Mobile / Touch,High
Error Prevention & Tolerance,"Designing to minimize user mistakes through constraints, feedback, and safe arrangement.",Use warnings and confirmations; provide default values; allow undos.,Don't let users cruise through hazardous procedures on 'autopilot'.,General,High
Interusability,Making the overall experience feel like a coherent service across multiple devices.,Specify which functionality belongs on each device; create guidelines that span multiple device types.,Don't treat devices as isolated cells; avoid disjointed UIs.,IoT / Multi-Device,High
Direct Manipulation Consistency,"Interfaces depend on visual representation of objects and rapid, reversible operations.",Ensure interface actions are aligned with user understanding; provide immediate feedback.,Don't distance the user from the consequences of their actions.,Desktop / Mobile / IoT,High
Gradual Engagement,Allowing users to experience benefits before requiring investment of effort or data.,Let users engage with core features before asking them to sign up; prompt for sign-in during task saving.,Don't use 'Sign up' and 'Sign in' together as the terms are confusingly similar.,Web / Mobile,High
Welcome changing requirements,"Agile processes harness change for competitive advantage, even late in development.",Solicit feedback often; embrace additions or subtractions from the prioritized list.,Stick blindly to a roadmap; lock down requirements very early (Waterfall style).,General Software,High
Frequent delivery,"Deliver working software frequently, with a preference for shorter timescales.",Aim for sprints typically between one and four weeks; deliver shippable functionality.,Allow prototypes to remain unavailable; rely on long-release cycles that cause feature lag.,General Software,High
Motivated Individuals,Build projects around motivated individuals; give them support and trust.,Trust the team to make necessary decisions that affect the final output.,Treat staff as interchangeable resources rather than human beings with unique skills.,Management / Process,High
Perceptible Information,Design communicates necessary info regardless of ambient conditions or sensory abilities.,"Use different modes (pictorial, verbal, tactile) for redundant presentation of essential information.",Not in source,Universal Design,High
Flexibility in Use,The design accommodates a wide range of individual preferences and abilities.,Provide choice in methods of use; accommodate right- or left-handed access.,Not in source,Universal Design,High
Show Total Number of Items,"If users overlook the item count, they lack feedback on the quality of their search or category scope.",Clearly show the total number of items in the list both above and below the list.,Don't make the count difficult to see or omit it entirely.,Desktop / Search,Disruptive
Have Hierarchy-Based Breadcrumbs,Users are often unsure about their current scope and position in the site hierarchy.,Include hierarchy-based breadcrumbs on category pages to help users traverse up.,"Don't omit breadcrumbs from the list pages, even if they are present on product pages.",Desktop / Categories,Disruptive
Adopt Novel Navigation Methods Cautiously,Non-standard methods are difficult for users to control and can distract from list items.,Rely on standard navigation for product lists. Use novel methods only for immersive storytelling.,Don't use parallax scrolling or other non-standard methods for actual product selection.,Desktop / Nav,Disruptive
Use 'Load More' Hybrid Pagination,Different contexts require different pagination methods. A hybrid approach is often best.,Use 'Load More' combined with lazy-loading/Endless Scroll for initial items (~50-100).,Don't use pure endless scrolling if it blocks the footer; avoid pure pagination for categories.,Desktop / Mobile,Disruptive
Default Number of Products Per Page,Too few products limit the grasp of breadth; too many encourage aimless glancing.,"Load 50-150 items for categories, 25-75 for search, and 15-30 for mobile.","Don't load a very small number of items by default (e.g., 10-18) unless on mobile.",Desktop / Mobile,Disruptive
Display 'Price Per Unit',Users have a difficult time evaluating value for products sold in different package sizes.,"Calculate and display price per unit (e.g., $/oz) and allow users to sort by it.",Don't force users to do their own math to find value for money.,Desktop / Bulk Goods,Disruptive
Include Rating Average and Number of Ratings,Users find rating averages suspicious unless they can see the volume of data.,"Show the star average and the count of ratings in parentheses (e.g., 4.5 stars (118)).",Don't show stars without the review count.,Desktop / Social Proof,Disruptive
Logic for Sorting 'Customer Ratings',Users prefer products with many good ratings over a single perfect rating.,Take the number of ratings into account in the sorting algorithm.,Don't use strict arithmetic that places one 5-star review above a 4.8-star review with hundreds of votes.,Desktop / Social Proof,Disruptive
Avoid Ads in Prime Homepage Locations,"Users perceive internal promotions looking like ads as ""spam,"" setting a negative tone.","Be mindful of size, placement, and aesthetics; integrate promotions into the overall design.",Place ads in the middle column or upper part of page; use pop-up banners or dialog overlays.,Homepage,Disruptive
Carousel Slides Rules,Auto-rotation helps exposure but can cause frustration if too fast or changing during click.,Use 5-10s rotation; pause on hover; permanently stop after user interaction.,Rotate too quickly; make vital features accessible ONLY via a carousel slide.,Homepage,Disruptive
Assist Selection of Scope from Homepage,Success rates linked to how quickly users find a specific scope. Broad detours lead to false stock conclusions.,List popular categories/sub-categories on homepage; promote wizards; use visual hierarchy for paths.,Force users to meticulously plow through the entire taxonomy tree from the root.,Homepage,Disruptive
Invest in Bespoke Imagery and Design,Snap decisions about brand quality stick. Positive impressions increase patience with hiccups.,"Use large, high-quality images of products in use context; curate design; invest in photography.","Rely solely on single products on white backgrounds; use cluttered or ""old-fashioned"" layouts.",Homepage,Disruptive
Personalize Homepage Contents Moderately,Tailoring increases relevance but can interfere with the homepage's role as an 'escape route'.,Explicitly label personalized sections; keep personalization moderate; maintain static sections.,Personalize core features like navigation; make changes so dramatic the site becomes unrecognizable.,Homepage,Disruptive
Be Cautious with Default Site Scopes,Users don't expect to be in a sub-section (like 'Women') upon landing on the homepage.,Only use if one audience massively outweighs others; make the current scope abundantly obvious.,Assume users will easily find how to switch scopes; use if the audience is diverse.,Homepage,Disruptive
Divide Categories into Manageable Chunks,Users feel overwhelmed when presented with too many choices.,Aim for ~10 or fewer sub-categories per group; use nesting; prioritize by importance.,"Allow every department to add options to the top level; provide long, flat lists of 20+ items.",Category Taxonomy,Disruptive
Don't Have Shallow Parent Categories,Users expect grouping headers in menus to be clickable. Non-clickable headers block browsing.,Ensure headers/groups are selectable and part of the hierarchy; use pointer cursor on hover.,Use shallow text labels for grouping; force users into narrow sub-scopes because parent is unclickable.,Category Taxonomy,Disruptive
Accessories within High-Level Categories,Users look for accessories (e.g. laptop bags) within the theme of the main product.,"Place an ""Accessories"" sub-category within relevant high-level categories; keep consistent.",Pollute main list with accessories (e.g. 100 pillows in Sofa); use global 'Accessories' as only path.,Category Taxonomy,Disruptive
